audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD0033,TRIP001,06-02-2024 06:55,1664,57,quiet,0
AUD0034,TRIP001,06-02-2024 06:56,1716,45,quiet,0
AUD0035,TRIP001,06-02-2024 06:57,1768,55,quiet,0
AUD0036,TRIP001,06-02-2024 06:58,1820,57,quiet,0
AUD0037,TRIP001,06-02-2024 06:59,1872,58,normal,0
AUD0038,TRIP001,06-02-2024 07:00,1924,55,quiet,0
AUD0039,TRIP001,06-02-2024 07:00,1976,47,quiet,0
AUD0040,TRIP001,06-02-2024 07:01,2028,62,normal,0
AUD0041,TRIP002,06-02-2024 07:34,0,87,loud,0
AUD0042,TRIP002,06-02-2024 07:34,34,66,normal,0
AUD0043,TRIP002,06-02-2024 07:35,68,77,loud,0
AUD0044,TRIP002,06-02-2024 07:35,102,62,normal,0
AUD0045,TRIP002,06-02-2024 07:36,136,47,quiet,0
AUD0046,TRIP002,06-02-2024 07:36,170,45,quiet,0
AUD0047,TRIP002,06-02-2024 07:37,204,60,normal,0
AUD0048,TRIP002,06-02-2024 07:37,238,58,normal,0
AUD0049,TRIP002,06-02-2024 07:38,272,63,normal,0
AUD0050,TRIP002,06-02-2024 07:39,306,48,quiet,0
AUD0051,TRIP002,06-02-2024 07:39,340,62,normal,0
AUD0052,TRIP002,06-02-2024 07:40,374,59,normal,0
AUD0053,TRIP002,06-02-2024 07:40,408,50,quiet,0
AUD0054,TRIP002,06-02-2024 07:41,442,75,conversation,0
AUD0055,TRIP002,06-02-2024 07:41,476,68,conversation,0
AUD0056,TRIP002,06-02-2024 07:42,510,58,normal,0
AUD0057,TRIP002,06-02-2024 07:43,544,46,quiet,0
AUD0058,TRIP002,06-02-2024 07:43,578,64,normal,0
AUD0059,TRIP002,06-02-2024 07:44,612,53,quiet,0
AUD0060,TRIP002,06-02-2024 07:44,646,66,normal,0
AUD0061,TRIP002,06-02-2024 07:45,680,64,normal,0
AUD0062,TRIP002,06-02-2024 07:45,714,49,quiet,0
AUD0063,TRIP002,06-02-2024 07:46,748,59,normal,0
AUD0064,TRIP002,06-02-2024 07:47,782,69,conversation,0
AUD0065,TRIP002,06-02-2024 07:47,816,45,quiet,0
AUD0066,TRIP002,06-02-2024 07:48,850,63,normal,0
AUD0067,TRIP002,06-02-2024 07:48,884,76,loud,0
AUD0068,TRIP002,06-02-2024 07:49,918,49,quiet,0
AUD0069,TRIP002,06-02-2024 07:49,952,45,quiet,0
AUD0070,TRIP002,06-02-2024 07:50,986,87,very_loud,6
AUD0071,TRIP002,06-02-2024 07:51,1020,45,quiet,0
AUD0072,TRIP002,06-02-2024 07:51,1054,59,normal,0
AUD0073,TRIP002,06-02-2024 07:52,1088,71,conversation,0
AUD0074,TRIP002,06-02-2024 07:52,1122,73,conversation,0
AUD0075,TRIP002,06-02-2024 07:53,1156,62,normal,0
AUD0076,TRIP002,06-02-2024 07:53,1190,75,conversation,0
AUD0077,TRIP002,06-02-2024 07:54,1224,57,quiet,0
AUD0078,TRIP002,06-02-2024 07:54,1258,55,quiet,0
AUD0079,TRIP002,06-02-2024 07:55,1292,61,normal,0
AUD0080,TRIP002,06-02-2024 07:56,1326,64,normal,0
AUD0081,TRIP002,06-02-2024 07:56,1360,64,normal,0
AUD0082,TRIP002,06-02-2024 07:57,1394,50,quiet,0
AUD0083,TRIP002,06-02-2024 07:57,1428,60,normal,0
AUD0084,TRIP002,06-02-2024 07:58,1462,49,quiet,0
AUD0085,TRIP002,06-02-2024 07:58,1496,58,normal,0
AUD0086,TRIP002,06-02-2024 07:59,1530,65,normal,0
AUD0087,TRIP002,06-02-2024 08:00,1564,65,normal,0
AUD0088,TRIP002,06-02-2024 08:00,1598,79,loud,0
AUD0089,TRIP002,06-02-2024 08:01,1632,54,quiet,0
AUD0090,TRIP002,06-02-2024 08:01,1666,70,conversation,0
AUD0091,TRIP002,06-02-2024 08:02,1700,80,loud,0
AUD0092,TRIP002,06-02-2024 08:02,1734,83,loud,0
AUD0093,TRIP002,06-02-2024 08:03,1768,70,conversation,0
AUD0094,TRIP002,06-02-2024 08:04,1802,46,quiet,0
AUD0095,TRIP002,06-02-2024 08:04,1836,50,quiet,0
AUD0096,TRIP002,06-02-2024 08:05,1870,51,quiet,0
AUD0097,TRIP002,06-02-2024 08:05,1904,61,normal,0
AUD0098,TRIP002,06-02-2024 08:06,1938,79,loud,0
AUD0099,TRIP002,06-02-2024 08:06,1972,58,normal,0
AUD0100,TRIP002,06-02-2024 08:07,2006,52,quiet,0
AUD0101,TRIP002,06-02-2024 08:08,2040,72,conversation,0
AUD0102,TRIP002,06-02-2024 08:08,2074,55,quiet,0
AUD0103,TRIP002,06-02-2024 08:09,2108,70,conversation,0
AUD0104,TRIP002,06-02-2024 08:09,2142,56,quiet,0
AUD0105,TRIP002,06-02-2024 08:10,2176,69,conversation,0
AUD0106,TRIP002,06-02-2024 08:10,2210,62,normal,0
AUD0107,TRIP002,06-02-2024 08:11,2244,57,quiet,0
AUD0108,TRIP002,06-02-2024 08:11,2278,45,quiet,0
AUD0109,TRIP002,06-02-2024 08:12,2312,60,normal,0
AUD0110,TRIP002,06-02-2024 08:13,2346,47,quiet,0
AUD0111,TRIP002,06-02-2024 08:13,2380,63,normal,0
AUD0112,TRIP002,06-02-2024 08:14,2414,69,conversation,0
AUD0113,TRIP002,06-02-2024 08:14,2448,65,normal,0
AUD0114,TRIP002,06-02-2024 08:15,2482,59,normal,0
AUD0115,TRIP002,06-02-2024 08:15,2516,59,normal,0
AUD0116,TRIP002,06-02-2024 08:16,2550,67,normal,0
AUD0117,TRIP002,06-02-2024 08:17,2584,53,quiet,0
AUD0118,TRIP002,06-02-2024 08:17,2618,61,normal,0
AUD0119,TRIP002,06-02-2024 08:18,2652,46,quiet,0
AUD0120,TRIP002,06-02-2024 08:18,2686,52,quiet,0
AUD0121,TRIP002,06-02-2024 08:19,2720,62,normal,0
AUD0122,TRIP002,06-02-2024 08:19,2754,46,quiet,0
AUD0123,TRIP002,06-02-2024 08:20,2788,61,normal,0
AUD0124,TRIP002,06-02-2024 08:21,2822,66,normal,0
AUD0125,TRIP002,06-02-2024 08:21,2856,52,quiet,0
AUD0126,TRIP002,06-02-2024 08:22,2890,63,normal,0
AUD0127,TRIP002,06-02-2024 08:22,2924,46,quiet,0
AUD0128,TRIP002,06-02-2024 08:23,2958,64,normal,0
AUD0129,TRIP002,06-02-2024 08:23,2992,55,quiet,0
AUD0130,TRIP002,06-02-2024 08:24,3026,50,quiet,0
AUD0131,TRIP002,06-02-2024 08:25,3060,56,quiet,0
AUD0132,TRIP002,06-02-2024 08:25,3094,48,quiet,0
AUD0133,TRIP002,06-02-2024 08:26,3128,67,normal,0
AUD0134,TRIP002,06-02-2024 08:26,3162,61,normal,0
AUD0135,TRIP002,06-02-2024 08:27,3196,70,conversation,0
AUD0136,TRIP002,06-02-2024 08:27,3230,45,quiet,0
AUD0137,TRIP002,06-02-2024 08:28,3264,68,conversation,0
AUD0138,TRIP002,06-02-2024 08:28,3298,45,quiet,0
AUD0139,TRIP002,06-02-2024 08:29,3332,59,normal,0
AUD0140,TRIP002,06-02-2024 08:30,3366,83,loud,0
AUD0141,TRIP002,06-02-2024 08:30,3400,45,quiet,0
AUD0142,TRIP002,06-02-2024 08:31,3434,59,normal,0
AUD0143,TRIP002,06-02-2024 08:31,3468,49,quiet,0
AUD0144,TRIP002,06-02-2024 08:32,3502,54,quiet,0
AUD0145,TRIP002,06-02-2024 08:32,3536,49,quiet,0
AUD0146,TRIP002,06-02-2024 08:33,3570,45,quiet,0
AUD0147,TRIP002,06-02-2024 08:34,3600,74,loud,0
AUD0148,TRIP003,06-02-2024 08:53,0,83,loud,0
AUD0149,TRIP003,06-02-2024 08:53,41,64,normal,0
AUD0150,TRIP003,06-02-2024 08:54,82,59,normal,0
AUD0151,TRIP003,06-02-2024 08:55,123,64,normal,0
AUD0152,TRIP003,06-02-2024 08:55,164,64,normal,0
AUD0153,TRIP003,06-02-2024 08:56,205,58,normal,0
AUD0154,TRIP003,06-02-2024 08:57,246,63,normal,0
AUD0155,TRIP003,06-02-2024 08:57,287,61,normal,0
AUD0156,TRIP003,06-02-2024 08:58,328,55,quiet,0
AUD0157,TRIP003,06-02-2024 08:59,369,51,quiet,0
AUD0158,TRIP003,06-02-2024 08:59,410,52,quiet,0
AUD0159,TRIP003,06-02-2024 09:00,451,49,quiet,0
AUD0160,TRIP003,06-02-2024 09:01,492,57,quiet,0
AUD0161,TRIP003,06-02-2024 09:01,533,64,normal,0
AUD0162,TRIP003,06-02-2024 09:02,574,68,conversation,0
AUD0163,TRIP003,06-02-2024 09:03,615,61,normal,0
AUD0164,TRIP003,06-02-2024 09:03,656,69,conversation,0
AUD0165,TRIP003,06-02-2024 09:04,697,79,very_loud,19
AUD0166,TRIP003,06-02-2024 09:05,738,97,argument,60
AUD0167,TRIP003,06-02-2024 09:05,779,98,argument,101
AUD0168,TRIP003,06-02-2024 09:06,820,86,argument,142
AUD0169,TRIP003,06-02-2024 09:07,861,47,quiet,0
AUD0170,TRIP003,06-02-2024 09:08,902,52,quiet,0
AUD0171,TRIP003,06-02-2024 09:08,943,63,normal,0
AUD0172,TRIP003,06-02-2024 09:09,984,45,quiet,0
AUD0173,TRIP003,06-02-2024 09:10,1025,61,normal,0
AUD0174,TRIP003,06-02-2024 09:10,1066,64,normal,0
AUD0175,TRIP003,06-02-2024 09:11,1107,77,loud,0
AUD0176,TRIP003,06-02-2024 09:12,1148,73,conversation,0
AUD0177,TRIP003,06-02-2024 09:12,1189,54,quiet,0
AUD0178,TRIP003,06-02-2024 09:13,1230,52,quiet,0
AUD0179,TRIP003,06-02-2024 09:14,1271,70,conversation,0
AUD0180,TRIP003,06-02-2024 09:14,1312,71,conversation,0
AUD0181,TRIP003,06-02-2024 09:15,1353,64,normal,0
AUD0182,TRIP003,06-02-2024 09:16,1394,46,quiet,0
AUD0183,TRIP003,06-02-2024 09:16,1435,58,normal,0
AUD0184,TRIP003,06-02-2024 09:17,1476,53,quiet,0
AUD0185,TRIP003,06-02-2024 09:18,1517,46,quiet,0
AUD0186,TRIP003,06-02-2024 09:18,1558,61,normal,0
AUD0187,TRIP003,06-02-2024 09:19,1599,49,quiet,0
AUD0188,TRIP003,06-02-2024 09:20,1640,81,loud,0
AUD0189,TRIP003,06-02-2024 09:21,1681,48,quiet,0
AUD0190,TRIP003,06-02-2024 09:21,1722,45,quiet,0
AUD0191,TRIP003,06-02-2024 09:22,1763,60,normal,0
AUD0192,TRIP003,06-02-2024 09:23,1804,74,conversation,0
AUD0193,TRIP003,06-02-2024 09:23,1845,60,normal,0
AUD0194,TRIP003,06-02-2024 09:24,1886,53,quiet,0
AUD0195,TRIP003,06-02-2024 09:25,1920,78,loud,0
AUD0196,TRIP004,06-02-2024 09:56,0,77,loud,0
AUD0197,TRIP004,06-02-2024 09:56,36,50,quiet,0
AUD0198,TRIP004,06-02-2024 09:57,72,62,normal,0
AUD0199,TRIP004,06-02-2024 09:57,108,59,normal,0
AUD0200,TRIP004,06-02-2024 09:58,144,61,normal,0
AUD0201,TRIP004,06-02-2024 09:59,180,52,quiet,0
AUD0202,TRIP004,06-02-2024 09:59,216,59,normal,0
AUD0203,TRIP004,06-02-2024 10:00,252,70,conversation,0
AUD0204,TRIP004,06-02-2024 10:00,288,45,quiet,0
AUD0205,TRIP004,06-02-2024 10:01,324,52,quiet,0
AUD0206,TRIP004,06-02-2024 10:02,360,57,quiet,0
AUD0207,TRIP004,06-02-2024 10:02,396,56,quiet,0
AUD0208,TRIP004,06-02-2024 10:03,432,76,loud,0
AUD0209,TRIP004,06-02-2024 10:03,468,45,quiet,0
AUD0210,TRIP004,06-02-2024 10:04,504,45,quiet,0
AUD0211,TRIP004,06-02-2024 10:05,540,72,conversation,0
AUD0212,TRIP004,06-02-2024 10:05,576,46,quiet,0
AUD0213,TRIP004,06-02-2024 10:06,612,53,quiet,0
AUD0214,TRIP004,06-02-2024 10:06,648,64,normal,0
AUD0215,TRIP004,06-02-2024 10:07,684,73,conversation,0
AUD0216,TRIP004,06-02-2024 10:08,720,53,quiet,0
AUD0217,TRIP004,06-02-2024 10:08,756,54,quiet,0
AUD0218,TRIP004,06-02-2024 10:09,792,48,quiet,0
AUD0219,TRIP004,06-02-2024 10:09,828,61,normal,0
AUD0220,TRIP004,06-02-2024 10:10,864,76,loud,0
AUD0221,TRIP004,06-02-2024 10:11,900,54,quiet,0
AUD0222,TRIP004,06-02-2024 10:11,936,51,quiet,0
AUD0223,TRIP004,06-02-2024 10:12,972,59,normal,0
AUD0224,TRIP004,06-02-2024 10:12,1008,66,normal,0
AUD0225,TRIP004,06-02-2024 10:13,1044,69,conversation,0
AUD0226,TRIP004,06-02-2024 10:14,1080,59,normal,0
AUD0227,TRIP004,06-02-2024 10:14,1116,76,loud,0
AUD0228,TRIP004,06-02-2024 10:15,1152,67,normal,0
AUD0229,TRIP004,06-02-2024 10:15,1188,61,normal,0
AUD0230,TRIP004,06-02-2024 10:16,1224,60,normal,0
AUD0231,TRIP004,06-02-2024 10:17,1260,45,quiet,0
AUD0232,TRIP004,06-02-2024 10:17,1296,54,quiet,0
AUD0233,TRIP004,06-02-2024 10:18,1332,50,quiet,0
AUD0234,TRIP004,06-02-2024 10:18,1368,58,normal,0
AUD0235,TRIP004,06-02-2024 10:19,1404,52,quiet,0
AUD0236,TRIP004,06-02-2024 10:20,1440,46,quiet,0
AUD0237,TRIP004,06-02-2024 10:20,1476,69,conversation,0
AUD0238,TRIP004,06-02-2024 10:21,1512,45,quiet,0
AUD0239,TRIP004,06-02-2024 10:21,1548,85,very_loud,7
AUD0240,TRIP004,06-02-2024 10:22,1584,49,quiet,0
AUD0241,TRIP004,06-02-2024 10:23,1620,60,normal,0
AUD0242,TRIP004,06-02-2024 10:23,1656,46,quiet,0
AUD0243,TRIP004,06-02-2024 10:24,1680,74,loud,0
AUD0244,TRIP005,06-02-2024 10:58,0,71,loud,0
AUD0245,TRIP005,06-02-2024 10:58,34,50,quiet,0
AUD0246,TRIP005,06-02-2024 10:59,68,66,normal,0
AUD0247,TRIP005,06-02-2024 10:59,102,76,loud,0
AUD0248,TRIP005,06-02-2024 11:00,136,52,quiet,0
AUD0249,TRIP005,06-02-2024 11:00,170,45,quiet,0
AUD0250,TRIP005,06-02-2024 11:01,204,53,quiet,0
AUD0251,TRIP005,06-02-2024 11:01,238,54,quiet,0
AUD0252,TRIP005,06-02-2024 11:02,272,56,quiet,0
AUD0253,TRIP005,06-02-2024 11:03,306,63,normal,0
AUD0254,TRIP005,06-02-2024 11:03,340,65,normal,0
AUD0255,TRIP005,06-02-2024 11:04,374,48,quiet,0
AUD0256,TRIP005,06-02-2024 11:04,408,57,quiet,0
AUD0257,TRIP005,06-02-2024 11:05,442,58,normal,0
AUD0258,TRIP005,06-02-2024 11:05,476,74,conversation,0
AUD0259,TRIP005,06-02-2024 11:06,510,65,normal,0
AUD0260,TRIP005,06-02-2024 11:07,544,50,quiet,0
AUD0261,TRIP005,06-02-2024 11:07,578,45,quiet,0
AUD0262,TRIP005,06-02-2024 11:08,612,52,quiet,0
AUD0263,TRIP005,06-02-2024 11:08,646,57,quiet,0
AUD0264,TRIP005,06-02-2024 11:09,680,54,quiet,0
AUD0265,TRIP005,06-02-2024 11:09,714,47,quiet,0
AUD0266,TRIP005,06-02-2024 11:10,748,48,quiet,0
AUD0267,TRIP005,06-02-2024 11:11,782,66,normal,0
AUD0268,TRIP005,06-02-2024 11:11,816,45,quiet,0
AUD0269,TRIP005,06-02-2024 11:12,850,69,conversation,0
AUD0270,TRIP005,06-02-2024 11:12,884,57,quiet,0
AUD0271,TRIP005,06-02-2024 11:13,918,48,quiet,0
AUD0272,TRIP005,06-02-2024 11:13,952,57,quiet,0
AUD0273,TRIP005,06-02-2024 11:14,986,66,normal,0
AUD0274,TRIP005,06-02-2024 11:15,1020,59,normal,0
AUD0275,TRIP005,06-02-2024 11:15,1054,51,quiet,0
AUD0276,TRIP005,06-02-2024 11:16,1088,52,quiet,0
AUD0277,TRIP005,06-02-2024 11:16,1122,54,quiet,0
AUD0278,TRIP005,06-02-2024 11:17,1156,61,normal,0
AUD0279,TRIP005,06-02-2024 11:17,1190,45,quiet,0
AUD0280,TRIP005,06-02-2024 11:18,1224,51,quiet,0
AUD0281,TRIP005,06-02-2024 11:18,1258,56,quiet,0
AUD0282,TRIP005,06-02-2024 11:19,1292,56,quiet,0
AUD0283,TRIP005,06-02-2024 11:20,1326,52,quiet,0
AUD0284,TRIP005,06-02-2024 11:20,1360,57,quiet,0
AUD0285,TRIP005,06-02-2024 11:21,1394,45,quiet,0
AUD0286,TRIP005,06-02-2024 11:21,1428,45,quiet,0
AUD0287,TRIP006,06-02-2024 12:17,0,70,loud,0
AUD0288,TRIP006,06-02-2024 12:17,22,45,quiet,0
AUD0289,TRIP006,06-02-2024 12:17,44,45,quiet,0
AUD0290,TRIP006,06-02-2024 12:18,66,66,normal,0
AUD0291,TRIP006,06-02-2024 12:18,88,75,conversation,0
AUD0292,TRIP006,06-02-2024 12:18,110,53,quiet,0
AUD0293,TRIP006,06-02-2024 12:19,132,65,normal,0
AUD0294,TRIP006,06-02-2024 12:19,154,73,conversation,0
AUD0295,TRIP006,06-02-2024 12:19,176,59,normal,0
AUD0296,TRIP006,06-02-2024 12:20,198,75,conversation,0
AUD0297,TRIP006,06-02-2024 12:20,220,59,normal,0
AUD0298,TRIP006,06-02-2024 12:21,242,65,normal,0
AUD0299,TRIP006,06-02-2024 12:21,264,80,loud,0
AUD0300,TRIP006,06-02-2024 12:21,286,70,conversation,0
AUD0301,TRIP006,06-02-2024 12:22,308,61,normal,0
AUD0302,TRIP006,06-02-2024 12:22,330,56,quiet,0
AUD0303,TRIP006,06-02-2024 12:22,352,73,conversation,0
AUD0304,TRIP006,06-02-2024 12:23,374,68,conversation,0
AUD0305,TRIP006,06-02-2024 12:23,396,69,conversation,0
AUD0306,TRIP006,06-02-2024 12:23,418,64,normal,0
AUD0307,TRIP006,06-02-2024 12:24,440,71,conversation,0
AUD0308,TRIP006,06-02-2024 12:24,462,53,quiet,0
AUD0309,TRIP006,06-02-2024 12:25,484,55,quiet,0
AUD0310,TRIP006,06-02-2024 12:25,506,53,quiet,0
AUD0311,TRIP006,06-02-2024 12:25,528,69,conversation,0
AUD0312,TRIP006,06-02-2024 12:26,550,56,quiet,0
AUD0313,TRIP006,06-02-2024 12:26,572,55,quiet,0
AUD0314,TRIP006,06-02-2024 12:26,594,64,normal,0
AUD0315,TRIP006,06-02-2024 12:27,616,52,quiet,0
AUD0316,TRIP006,06-02-2024 12:27,638,67,normal,0
AUD0317,TRIP006,06-02-2024 12:28,660,57,quiet,0
AUD0318,TRIP006,06-02-2024 12:28,682,76,loud,0
AUD0319,TRIP006,06-02-2024 12:28,704,76,loud,0
AUD0320,TRIP006,06-02-2024 12:29,726,79,loud,0
AUD0321,TRIP006,06-02-2024 12:29,748,51,quiet,0
AUD0322,TRIP006,06-02-2024 12:29,770,60,normal,0
AUD0323,TRIP006,06-02-2024 12:30,792,73,conversation,0
AUD0324,TRIP006,06-02-2024 12:30,814,79,loud,0
AUD0325,TRIP006,06-02-2024 12:30,836,47,quiet,0
AUD0326,TRIP006,06-02-2024 12:31,858,69,conversation,0
AUD0327,TRIP006,06-02-2024 12:31,880,64,normal,0
AUD0328,TRIP006,06-02-2024 12:32,902,66,normal,0
AUD0329,TRIP006,06-02-2024 12:32,924,52,quiet,0
AUD0330,TRIP006,06-02-2024 12:32,946,58,normal,0
AUD0331,TRIP006,06-02-2024 12:33,968,72,conversation,0
AUD0332,TRIP006,06-02-2024 12:33,990,72,conversation,0
AUD0333,TRIP006,06-02-2024 12:33,1012,65,normal,0
AUD0334,TRIP006,06-02-2024 12:34,1034,75,conversation,0
AUD0335,TRIP006,06-02-2024 12:34,1056,72,conversation,0
AUD0336,TRIP006,06-02-2024 12:34,1078,79,loud,0
AUD0337,TRIP006,06-02-2024 12:35,1100,69,conversation,0
AUD0338,TRIP006,06-02-2024 12:35,1122,91,argument,0
AUD0339,TRIP006,06-02-2024 12:36,1144,60,normal,0
AUD0340,TRIP006,06-02-2024 12:36,1166,83,loud,0
AUD0341,TRIP006,06-02-2024 12:36,1188,53,quiet,0
AUD0342,TRIP006,06-02-2024 12:37,1210,62,normal,0
AUD0343,TRIP006,06-02-2024 12:37,1232,70,conversation,0
AUD0344,TRIP006,06-02-2024 12:37,1254,45,quiet,0
AUD0345,TRIP006,06-02-2024 12:38,1276,57,quiet,0
AUD0346,TRIP006,06-02-2024 12:38,1298,85,very_loud,13
AUD0347,TRIP006,06-02-2024 12:39,1320,48,quiet,0
AUD0348,TRIP006,06-02-2024 12:39,1342,47,quiet,0
AUD0349,TRIP006,06-02-2024 12:39,1364,47,quiet,0
AUD0350,TRIP006,06-02-2024 12:40,1386,54,quiet,0
AUD0351,TRIP006,06-02-2024 12:40,1408,62,normal,0
AUD0352,TRIP006,06-02-2024 12:40,1430,71,conversation,0
AUD0353,TRIP006,06-02-2024 12:41,1452,73,conversation,0
AUD0354,TRIP006,06-02-2024 12:41,1474,81,loud,0
AUD0355,TRIP006,06-02-2024 12:41,1496,76,loud,0
AUD0356,TRIP006,06-02-2024 12:42,1518,45,quiet,0
AUD0357,TRIP006,06-02-2024 12:42,1540,58,normal,0
AUD0358,TRIP006,06-02-2024 12:43,1562,49,quiet,0
AUD0359,TRIP006,06-02-2024 12:43,1584,86,very_loud,14
AUD0360,TRIP006,06-02-2024 12:43,1606,59,normal,0
AUD0361,TRIP006,06-02-2024 12:44,1628,55,quiet,0
AUD0362,TRIP006,06-02-2024 12:44,1650,70,conversation,0
AUD0363,TRIP006,06-02-2024 12:44,1672,60,normal,0
AUD0364,TRIP006,06-02-2024 12:45,1694,74,conversation,0
AUD0365,TRIP006,06-02-2024 12:45,1716,57,quiet,0
AUD0366,TRIP006,06-02-2024 12:45,1738,72,conversation,0
AUD0367,TRIP006,06-02-2024 12:46,1760,45,quiet,0
AUD0368,TRIP006,06-02-2024 12:46,1782,88,very_loud,6
AUD0369,TRIP006,06-02-2024 12:47,1804,66,normal,0
AUD0370,TRIP006,06-02-2024 12:47,1826,58,normal,0
AUD0371,TRIP006,06-02-2024 12:47,1848,62,normal,0
AUD0372,TRIP006,06-02-2024 12:48,1870,62,normal,0
AUD0373,TRIP006,06-02-2024 12:48,1892,61,normal,0
AUD0374,TRIP006,06-02-2024 12:48,1914,66,normal,0
AUD0375,TRIP006,06-02-2024 12:49,1936,61,normal,0
AUD0376,TRIP006,06-02-2024 12:49,1958,62,normal,0
AUD0377,TRIP006,06-02-2024 12:50,1980,59,normal,0
AUD0378,TRIP006,06-02-2024 12:50,2002,61,normal,0
AUD0379,TRIP006,06-02-2024 12:50,2024,65,normal,0
AUD0380,TRIP006,06-02-2024 12:51,2046,64,normal,0
AUD0381,TRIP006,06-02-2024 12:51,2068,62,normal,0
AUD0382,TRIP006,06-02-2024 12:51,2090,60,normal,0
AUD0383,TRIP006,06-02-2024 12:52,2112,68,conversation,0
AUD0384,TRIP006,06-02-2024 12:52,2134,56,quiet,0
AUD0385,TRIP006,06-02-2024 12:52,2156,45,quiet,0
AUD0386,TRIP006,06-02-2024 12:53,2178,62,normal,0
AUD0387,TRIP006,06-02-2024 12:53,2200,72,conversation,0
AUD0388,TRIP006,06-02-2024 12:54,2222,68,conversation,0
AUD0389,TRIP006,06-02-2024 12:54,2244,71,conversation,0
AUD0390,TRIP006,06-02-2024 12:54,2266,59,normal,0
AUD0391,TRIP006,06-02-2024 12:55,2288,67,normal,0
AUD0392,TRIP006,06-02-2024 12:55,2310,83,loud,0
AUD0393,TRIP006,06-02-2024 12:55,2332,51,quiet,0
AUD0394,TRIP006,06-02-2024 12:56,2354,68,conversation,0
AUD0395,TRIP006,06-02-2024 12:56,2376,59,normal,0
AUD0396,TRIP006,06-02-2024 12:56,2398,76,loud,0
AUD0397,TRIP006,06-02-2024 12:57,2420,63,normal,0
AUD0398,TRIP006,06-02-2024 12:57,2442,60,normal,0
AUD0399,TRIP006,06-02-2024 12:58,2464,49,quiet,0
AUD0400,TRIP006,06-02-2024 12:58,2486,53,quiet,0
AUD0401,TRIP006,06-02-2024 12:58,2508,59,normal,0
AUD0402,TRIP006,06-02-2024 12:59,2530,72,conversation,0
AUD0403,TRIP006,06-02-2024 12:59,2552,78,loud,0
AUD0404,TRIP006,06-02-2024 12:59,2574,61,normal,0
AUD0405,TRIP006,06-02-2024 13:00,2596,59,normal,0
AUD0406,TRIP006,06-02-2024 13:00,2618,66,normal,0
AUD0407,TRIP006,06-02-2024 13:01,2640,65,normal,0
AUD0408,TRIP006,06-02-2024 13:01,2662,61,normal,0
AUD0409,TRIP006,06-02-2024 13:01,2684,62,normal,0
AUD0410,TRIP006,06-02-2024 13:02,2706,65,normal,0
AUD0411,TRIP006,06-02-2024 13:02,2728,74,conversation,0
AUD0412,TRIP006,06-02-2024 13:02,2750,56,quiet,0
AUD0413,TRIP006,06-02-2024 13:03,2772,50,quiet,0
AUD0414,TRIP006,06-02-2024 13:03,2794,64,normal,0
AUD0415,TRIP006,06-02-2024 13:03,2816,53,quiet,0
AUD0416,TRIP006,06-02-2024 13:04,2838,77,loud,0
AUD0417,TRIP006,06-02-2024 13:04,2860,66,normal,0
AUD0418,TRIP006,06-02-2024 13:05,2882,61,normal,0
AUD0419,TRIP006,06-02-2024 13:05,2904,62,normal,0
