sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC0091,TRIP002,06-02-2024 07:48,875,1.155,0.656,9.702,21.8,18.5507,73.74989
ACC0092,TRIP002,06-02-2024 07:49,900,3.131,0.6,9.52,26.1,18.52332,73.83642
ACC0093,TRIP002,06-02-2024 07:49,925,-5.332,0.534,9.91,20,18.51564,73.7584
ACC0094,TRIP002,06-02-2024 07:49,950,0.887,-0.188,11.81,18.6,18.56275,73.89385
ACC0095,TRIP002,06-02-2024 07:50,975,0.378,0.279,9.463,22.8,18.53292,73.87762
ACC0096,TRIP002,06-02-2024 07:50,1000,1.343,0.828,9.5,25.9,18.54957,73.98815
ACC0097,TRIP002,06-02-2024 07:51,1025,1.072,0.045,9.523,26.1,18.47066,73.84977
ACC0098,TRIP002,06-02-2024 07:51,1050,-5.691,0.058,9.212,19,18.52796,73.8575
ACC0099,TRIP002,06-02-2024 07:51,1075,0.874,-0.413,9.597,18.1,18.49527,73.78153
ACC0100,TRIP002,06-02-2024 07:52,1100,1.074,2.848,9.308,23.1,18.54155,73.81774
ACC0101,TRIP002,06-02-2024 07:52,1125,0.135,0.127,9.571,13.5,18.50395,73.91126
ACC0102,TRIP002,06-02-2024 07:53,1150,-0.019,-0.146,9.371,21,18.50866,73.74378
ACC0103,TRIP002,06-02-2024 07:53,1175,-0.141,0.83,9.359,16.8,18.58203,73.93037
ACC0104,TRIP002,06-02-2024 07:54,1200,0.021,0.446,9.235,15.7,18.51263,73.94016
ACC0105,TRIP002,06-02-2024 07:54,1225,0.461,0.654,10.121,17.3,18.52596,73.95391
ACC0106,TRIP002,06-02-2024 07:54,1250,1.017,-0.207,9.72,11.6,18.47904,73.81379
ACC0107,TRIP002,06-02-2024 07:55,1275,0.997,0.148,9.714,21,18.4785,73.90007
ACC0108,TRIP002,06-02-2024 07:55,1300,1.962,0.05,9.608,23.8,18.56818,73.83647
ACC0109,TRIP002,06-02-2024 07:56,1325,0.725,-0.131,9.618,17.5,18.57716,73.83313
ACC0110,TRIP002,06-02-2024 07:56,1350,-0.75,2.925,9.437,10,18.4888,73.84147
ACC0111,TRIP002,06-02-2024 07:56,1375,0.797,5.123,9.608,26.1,18.55685,73.81826
ACC0112,TRIP002,06-02-2024 07:57,1400,-6.649,0.285,9.852,19.8,18.48372,73.87465
ACC0113,TRIP002,06-02-2024 07:57,1425,0.34,0.154,9.721,19.4,18.5968,73.8638
ACC0114,TRIP002,06-02-2024 07:58,1450,-0.021,0.506,9.548,23.8,18.63859,73.85795
ACC0115,TRIP002,06-02-2024 07:58,1475,0.071,0.693,9.811,8.1,18.57863,73.88842
ACC0116,TRIP002,06-02-2024 07:59,1500,0.952,0.809,9.772,25.9,18.51298,73.83426
ACC0117,TRIP002,06-02-2024 07:59,1525,0.53,0.522,9.725,26.1,18.52902,73.93627
ACC0118,TRIP002,06-02-2024 07:59,1550,-3.097,0.114,10.056,22.5,18.51792,73.77459
ACC0119,TRIP002,06-02-2024 08:00,1575,0.809,0.172,9.626,26.1,18.50165,73.92216
ACC0120,TRIP002,06-02-2024 08:00,1600,-2.214,0.258,9.665,22.4,18.48562,73.78379
ACC0121,TRIP002,06-02-2024 08:01,1625,0.779,0.392,9.782,22.8,18.5684,73.86275
ACC0122,TRIP002,06-02-2024 08:01,1650,0.213,1.008,9.353,17,18.44521,73.85975
ACC0123,TRIP002,06-02-2024 08:01,1675,-0.851,0.356,9.624,17.3,18.57128,73.93706
ACC0124,TRIP002,06-02-2024 08:02,1700,4.85,0.218,9.966,26.1,18.48237,73.87551
ACC0125,TRIP002,06-02-2024 08:02,1725,-4.988,0.388,10.155,21.9,18.53873,73.86192
ACC0126,TRIP002,06-02-2024 08:03,1750,-0.089,-0.186,9.953,21.6,18.48017,73.91412
ACC0127,TRIP002,06-02-2024 08:03,1775,0.604,0.384,9.899,19.1,18.60037,73.88133
ACC0128,TRIP002,06-02-2024 08:04,1800,-0.1,1.063,9.794,22.8,18.44959,73.82486
ACC0129,TRIP002,06-02-2024 08:04,1825,4.65,-0.566,9.908,26,18.52575,73.87637
ACC0130,TRIP002,06-02-2024 08:04,1850,-5.269,-0.197,9.661,25.7,18.44688,73.90746
ACC0131,TRIP002,06-02-2024 08:05,1875,0.165,-0.543,9.564,16.4,18.57694,73.82786
ACC0132,TRIP002,06-02-2024 08:05,1900,-0.011,4.065,10.007,26.1,18.59821,73.93987
ACC0133,TRIP002,06-02-2024 08:06,1925,0.375,0.236,9.503,15.3,18.53096,73.9237
ACC0134,TRIP002,06-02-2024 08:06,1950,0.202,0.114,9.833,25.9,18.56027,73.86244
ACC0135,TRIP002,06-02-2024 08:06,1975,3.175,0.779,9.669,14.5,18.54553,73.98661
ACC0136,TRIP002,06-02-2024 08:07,2000,-0.739,0.715,9.535,14,18.50182,73.88052
ACC0137,TRIP002,06-02-2024 08:07,2025,0.292,0.38,9.498,14.6,18.51388,73.79581
ACC0138,TRIP002,06-02-2024 08:08,2050,-4.276,0.04,9.646,17.4,18.56594,73.93919
ACC0139,TRIP002,06-02-2024 08:08,2075,0.691,0.104,9.773,17.1,18.55696,73.77886
ACC0140,TRIP002,06-02-2024 08:09,2100,1.14,0.111,9.899,21.9,18.45739,73.87473
ACC0141,TRIP002,06-02-2024 08:09,2125,0.256,0.715,9.318,10.4,18.4802,73.86464
ACC0142,TRIP002,06-02-2024 08:09,2150,1.239,0.582,9.799,17.7,18.55161,73.82485
ACC0143,TRIP002,06-02-2024 08:10,2175,-0.267,0.534,9.937,24,18.52327,73.8881
ACC0144,TRIP002,06-02-2024 08:10,2200,0.581,-4.613,9.69,4.6,18.47521,73.86115
ACC0145,TRIP002,06-02-2024 08:11,2225,-2.693,0.265,9.908,19.9,18.59686,73.78163
ACC0146,TRIP002,06-02-2024 08:11,2250,0.049,0.052,9.519,20.5,18.62456,73.80528
ACC0147,TRIP002,06-02-2024 08:11,2275,-0.381,0.891,9.608,13.5,18.5125,73.82142
ACC0148,TRIP002,06-02-2024 08:12,2300,1.875,0.757,9.529,18.3,18.4912,73.77996
ACC0149,TRIP002,06-02-2024 08:12,2325,-6.344,0.618,9.606,24.9,18.48032,73.88849
ACC0150,TRIP002,06-02-2024 08:13,2350,-0.571,0.246,9.916,17.5,18.56499,73.88563
ACC0151,TRIP002,06-02-2024 08:13,2375,0.923,-0.078,9.377,23.5,18.57765,73.84209
ACC0152,TRIP002,06-02-2024 08:14,2400,-0.693,0.901,9.865,15.9,18.58172,73.89817
ACC0153,TRIP002,06-02-2024 08:14,2425,-6.033,0.029,10.227,18.3,18.55675,73.81893
ACC0154,TRIP002,06-02-2024 08:14,2450,-5.963,0.4,9.913,26.1,18.53415,73.86679
ACC0155,TRIP002,06-02-2024 08:15,2475,0.13,0.792,9.678,16.6,18.50794,73.92477
ACC0156,TRIP002,06-02-2024 08:15,2500,-2.381,0.097,9.815,23.1,18.58238,73.9136
ACC0157,TRIP002,06-02-2024 08:16,2525,-0.113,0.243,10.045,14.4,18.54794,73.80123
ACC0158,TRIP002,06-02-2024 08:16,2550,-3.783,0.032,9.593,16.3,18.46104,73.90916
ACC0159,TRIP002,06-02-2024 08:16,2575,0.906,-0.416,9.76,23.5,18.48275,73.87076
ACC0160,TRIP002,06-02-2024 08:17,2600,1.505,0.97,9.367,19,18.48868,73.91948
ACC0161,TRIP002,06-02-2024 08:17,2625,-0.197,0.397,9.678,24.6,18.54612,73.9304
ACC0162,TRIP002,06-02-2024 08:18,2650,0.299,0.638,9.816,20,18.50149,73.81846
ACC0163,TRIP002,06-02-2024 08:18,2675,0.028,-2.981,9.895,16.6,18.54703,73.82977
ACC0164,TRIP002,06-02-2024 08:19,2700,-5.323,0.25,9.632,26.1,18.56664,73.83183
ACC0165,TRIP002,06-02-2024 08:19,2725,-0.252,-0.303,9.802,26.1,18.53837,73.89975
ACC0166,TRIP002,06-02-2024 08:19,2750,-0.007,5.357,9.321,9.9,18.46917,73.84442
ACC0167,TRIP002,06-02-2024 08:20,2775,0.638,0.322,9.879,15.2,18.59246,73.87132
ACC0168,TRIP002,06-02-2024 08:20,2800,0.707,0.257,9.621,21.1,18.49468,73.89264
ACC0169,TRIP002,06-02-2024 08:21,2825,0.002,-0.065,9.458,19.1,18.53963,73.82855
ACC0170,TRIP002,06-02-2024 08:21,2850,0.064,-0.363,9.904,23.8,18.51539,73.87389
ACC0171,TRIP002,06-02-2024 08:21,2875,0.412,-0.28,9.809,25.5,18.63037,73.87192
ACC0172,TRIP002,06-02-2024 08:22,2900,0.614,-2.972,10.015,7.9,18.50001,73.88333
ACC0173,TRIP002,06-02-2024 08:22,2925,0.013,-0.07,9.88,12.9,18.55009,73.80473
ACC0174,TRIP002,06-02-2024 08:23,2950,-0.048,0.548,9.936,17.9,18.49863,73.73541
ACC0175,TRIP002,06-02-2024 08:23,2975,-1.911,0.039,9.55,10.3,18.53775,73.85786
ACC0176,TRIP002,06-02-2024 08:24,3000,0.536,0.84,9.784,18.9,18.59513,73.81418
ACC0177,TRIP002,06-02-2024 08:24,3025,0.223,-0.806,9.274,23.5,18.56337,73.8785
ACC0178,TRIP002,06-02-2024 08:24,3050,1.571,-0.308,9.695,20.5,18.50013,73.87436
ACC0179,TRIP002,06-02-2024 08:25,3075,-2.058,-0.073,10.106,11.2,18.53442,73.87155
ACC0180,TRIP002,06-02-2024 08:25,3100,0.471,0.327,9.543,16.5,18.50672,73.98821
ACC0181,TRIP002,06-02-2024 08:26,3125,1.327,0.122,9.752,19.1,18.51501,73.88389
ACC0182,TRIP002,06-02-2024 08:26,3150,0.533,0.753,9.828,26.1,18.53455,73.99301
ACC0183,TRIP002,06-02-2024 08:26,3175,-0.06,-0.284,10.166,17,18.52093,73.93609
ACC0184,TRIP002,06-02-2024 08:27,3200,1.58,-0.419,9.647,23.2,18.43909,73.92679
ACC0185,TRIP002,06-02-2024 08:27,3225,0.844,1.144,9.629,18.2,18.54385,73.92328
ACC0186,TRIP002,06-02-2024 08:28,3250,0.021,0.623,9.776,16.5,18.51149,73.77182
ACC0187,TRIP002,06-02-2024 08:28,3275,1.301,0.361,9.548,8.8,18.53886,73.91098
ACC0188,TRIP002,06-02-2024 08:29,3300,-0.105,0.309,9.68,7.2,18.47686,73.89219
ACC0189,TRIP002,06-02-2024 08:29,3325,0.692,0.256,9.681,5.7,18.53487,73.93746
ACC0190,TRIP002,06-02-2024 08:29,3350,-0.134,0.003,9.74,0.7,18.56288,73.90075
ACC0191,TRIP002,06-02-2024 08:30,3375,1.254,0.598,9.513,0,18.53496,73.85219
ACC0192,TRIP002,06-02-2024 08:30,3400,0.135,-4.508,9.566,0,18.54885,73.99848
ACC0193,TRIP002,06-02-2024 08:31,3425,0.226,0.202,13.99,0,18.49676,73.91798
ACC0194,TRIP002,06-02-2024 08:31,3450,-0.543,0.508,11.502,0,18.4529,73.81223
ACC0195,TRIP002,06-02-2024 08:31,3475,0.12,-5.131,9.746,0,18.48122,73.83004
ACC0196,TRIP002,06-02-2024 08:32,3500,0.982,-2.803,9.567,0,18.63075,73.81876
ACC0197,TRIP002,06-02-2024 08:32,3525,0.006,1.005,9.818,0,18.51347,73.91464
ACC0198,TRIP002,06-02-2024 08:33,3550,0.358,0.218,9.852,0,18.47505,73.83507
ACC0199,TRIP002,06-02-2024 08:33,3575,1.129,-3.123,9.856,0,18.5322,73.83465
ACC0200,TRIP002,06-02-2024 08:34,3600,0.6,-2.694,9.838,0,18.56783,73.87387
ACC0201,TRIP003,06-02-2024 08:53,0,0.801,2.55,9.71,5.2,18.46375,73.91929
ACC0202,TRIP003,06-02-2024 08:53,24,0.722,0.989,9.662,10.8,18.48063,73.84487
ACC0203,TRIP003,06-02-2024 08:53,48,0.161,0.349,9.867,13.1,18.60934,73.86846
ACC0204,TRIP003,06-02-2024 08:54,72,-0.145,0.367,9.673,19.5,18.48193,73.99034
ACC0205,TRIP003,06-02-2024 08:54,96,-0.474,-0.079,9.69,23.7,18.54874,73.89083
ACC0206,TRIP003,06-02-2024 08:55,120,0.604,-0.15,9.576,26.2,18.46183,73.91046
ACC0207,TRIP003,06-02-2024 08:55,144,0.986,0.216,9.855,29,18.56465,73.86636
ACC0208,TRIP003,06-02-2024 08:55,168,0.628,-0.195,9.4,32.9,18.55,73.89225
ACC0209,TRIP003,06-02-2024 08:56,192,-0.189,-0.089,9.629,17.6,18.4509,73.81691
ACC0210,TRIP003,06-02-2024 08:56,216,-0.308,0.154,9.912,28.4,18.51193,73.90949
ACC0211,TRIP003,06-02-2024 08:57,240,0.056,0.665,9.639,24.7,18.54395,73.84136
ACC0212,TRIP003,06-02-2024 08:57,264,0.592,0.608,9.59,31.3,18.51967,73.89396
ACC0213,TRIP003,06-02-2024 08:57,288,1.01,0.387,9.437,20.2,18.6347,73.90909
ACC0214,TRIP003,06-02-2024 08:58,312,-6.593,-0.465,9.331,37,18.47752,73.85611
ACC0215,TRIP003,06-02-2024 08:58,336,-3.107,0.02,10.002,32.3,18.49926,73.88679
ACC0216,TRIP003,06-02-2024 08:59,360,0.845,2.474,9.47,35.9,18.53666,73.88401
ACC0217,TRIP003,06-02-2024 08:59,384,-0.106,-0.34,9.874,30.2,18.58147,73.85776
ACC0218,TRIP003,06-02-2024 08:59,408,0.98,0.052,9.768,17.4,18.60647,73.81642
ACC0219,TRIP003,06-02-2024 09:00,432,0.464,-0.237,9.766,25.3,18.49998,73.88026
ACC0220,TRIP003,06-02-2024 09:00,456,0.377,0.075,9.536,7.4,18.50844,73.85188
ACC0221,TRIP003,06-02-2024 09:01,480,-0.75,-0.253,9.892,25,18.48668,73.84101
ACC0222,TRIP003,06-02-2024 09:01,504,0.861,-0.023,9.961,37,18.5757,73.79331
ACC0223,TRIP003,06-02-2024 09:01,528,3.77,-0.211,9.657,35.7,18.5532,73.83235
ACC0224,TRIP003,06-02-2024 09:02,552,-6.495,0.176,9.612,32.3,18.62884,73.90872
ACC0225,TRIP003,06-02-2024 09:02,576,2.253,0.406,9.797,35,18.47555,73.8398
ACC0226,TRIP003,06-02-2024 09:03,600,0.789,0.13,9.728,24,18.56941,73.85416
ACC0227,TRIP003,06-02-2024 09:03,624,1.081,0.51,9.379,22.8,18.53478,73.90144
ACC0228,TRIP003,06-02-2024 09:03,648,0.57,0.434,9.713,34.5,18.51369,73.8637
ACC0229,TRIP003,06-02-2024 09:04,672,-0.731,0.041,9.711,27.5,18.51466,73.8874
ACC0230,TRIP003,06-02-2024 09:04,696,-0.577,0.061,9.853,19.8,18.56636,73.78984
ACC0231,TRIP003,06-02-2024 09:05,720,-3.03,0.271,9.808,26,18.54852,73.90478
ACC0232,TRIP003,06-02-2024 09:05,744,0.193,-0.882,9.576,21.8,18.47677,73.87203
ACC0233,TRIP003,06-02-2024 09:05,768,-4.512,0.286,9.514,27.3,18.5295,73.84984
ACC0234,TRIP003,06-02-2024 09:06,792,0.475,0.098,9.393,30,18.49906,73.86384
ACC0235,TRIP003,06-02-2024 09:06,816,0.775,0.088,9.507,23.2,18.53979,73.88074
ACC0236,TRIP003,06-02-2024 09:07,840,-0.001,0.171,9.785,37,18.50372,73.78729
ACC0237,TRIP003,06-02-2024 09:07,864,-0.244,-0.491,9.541,24,18.55819,73.89505
ACC0238,TRIP003,06-02-2024 09:07,888,0.244,-0.543,9.601,21.1,18.5705,73.8296
ACC0239,TRIP003,06-02-2024 09:08,912,-0.509,-0.299,9.842,35.5,18.51117,73.94906
ACC0240,TRIP003,06-02-2024 09:08,936,4.596,-0.678,9.296,31.4,18.47446,73.86903
ACC0241,TRIP003,06-02-2024 09:09,960,-5.522,0.255,9.946,28.6,18.58322,73.81708
ACC0242,TRIP003,06-02-2024 09:09,984,0.625,0.352,9.805,37,18.56988,73.786
ACC0243,TRIP003,06-02-2024 09:09,1008,3.995,0.243,9.444,37,18.53551,73.8523
ACC0244,TRIP003,06-02-2024 09:10,1032,1.589,0.219,9.713,37,18.58605,73.8503
ACC0245,TRIP003,06-02-2024 09:10,1056,0.987,-0.015,9.692,24.6,18.56621,73.96404
ACC0246,TRIP003,06-02-2024 09:11,1080,1.277,-0.138,9.747,33.1,18.51986,73.90586
ACC0247,TRIP003,06-02-2024 09:11,1104,-0.448,-0.326,9.424,28.5,18.63469,73.93562
ACC0248,TRIP003,06-02-2024 09:11,1128,1.253,0.575,9.391,13.7,18.58653,73.89527
ACC0249,TRIP003,06-02-2024 09:12,1152,0.766,-0.655,9.655,18.1,18.53292,73.84305
ACC0250,TRIP003,06-02-2024 09:12,1176,0.985,0.724,9.875,34.3,18.5689,73.88153
ACC0251,TRIP003,06-02-2024 09:13,1200,0.258,-0.285,9.509,28.4,18.54457,73.94054
ACC0252,TRIP003,06-02-2024 09:13,1224,1.002,0.632,9.654,27.4,18.52057,73.93486
ACC0253,TRIP003,06-02-2024 09:13,1248,-0.314,0.265,10.03,32.5,18.55539,73.89629
ACC0254,TRIP003,06-02-2024 09:14,1272,0.706,-0.358,9.575,20.1,18.55109,73.85403
ACC0255,TRIP003,06-02-2024 09:14,1296,0.364,0.205,9.831,31.1,18.53552,73.85389
ACC0256,TRIP003,06-02-2024 09:15,1320,-0.152,0.827,9.777,16,18.45673,73.86414
ACC0257,TRIP003,06-02-2024 09:15,1344,0.288,0.723,9.77,37,18.46721,73.91688
ACC0258,TRIP003,06-02-2024 09:15,1368,0.918,-0.126,9.735,25.3,18.52655,73.89048
ACC0259,TRIP003,06-02-2024 09:16,1392,0.011,0.842,9.91,25.8,18.56292,73.83337
ACC0260,TRIP003,06-02-2024 09:16,1416,1.02,-0.482,9.885,19,18.52417,73.89124
ACC0261,TRIP003,06-02-2024 09:17,1440,-0.096,0.487,9.723,32.1,18.52651,73.94006
ACC0262,TRIP003,06-02-2024 09:17,1464,0.83,-0.276,9.798,37,18.57154,73.9105
ACC0263,TRIP003,06-02-2024 09:17,1488,0.357,-0.043,9.32,30.4,18.5448,73.89938
ACC0264,TRIP003,06-02-2024 09:18,1512,0.787,1.022,9.716,17.9,18.5512,73.97337
ACC0265,TRIP003,06-02-2024 09:18,1536,0.522,-0.12,9.591,20.2,18.60337,73.96205
ACC0266,TRIP003,06-02-2024 09:19,1560,0.174,1.197,9.614,31.1,18.4475,73.94205
ACC0267,TRIP003,06-02-2024 09:19,1584,1.851,-0.356,9.992,34.9,18.57681,73.79011
