flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG0035,TRIP006,DRV002,06-02-2024 12:32,931,swerve,low,0.748,0,0.337,harsh accel detected. Combined score 0.337.,Motion: swerve | Audio: normal
FLAG0036,TRIP006,DRV002,06-02-2024 12:36,1178,moderate_brake,low,0.227,0,0.102,moderate brake detected. Combined score 0.102.,Motion: moderate_brake | Audio: normal
FLAG0037,TRIP006,DRV002,06-02-2024 12:47,1805,harsh_braking,low,0.478,0,0.215,harsh braking detected. Combined score 0.215.,Motion: harsh_braking | Audio: normal
FLAG0038,TRIP006,DRV002,06-02-2024 12:59,2565,moderate_brake,low,0.252,0,0.113,moderate brake detected. Combined score 0.113.,Motion: moderate_brake | Audio: normal
FLAG0039,TRIP006,DRV002,06-02-2024 13:04,2831,harsh_accel,low,0.337,0,0.152,harsh accel detected. Combined score 0.152.,Motion: harsh_accel | Audio: normal
FLAG0040,TRIP006,DRV002,06-02-2024 13:06,2983,harsh_accel,low,0.589,0,0.265,moderate brake detected. Combined score 0.265.,Motion: harsh_accel | Audio: normal
FLAG0041,TRIP007,DRV002,06-02-2024 13:28,128,harsh_accel,low,0.559,0,0.252,harsh accel detected. Combined score 0.252.,Motion: harsh_accel | Audio: normal
FLAG0042,TRIP007,DRV002,06-02-2024 13:35,576,harsh_braking,low,0.791,0,0.356,harsh braking detected. Combined score 0.356.,Motion: harsh_braking | Audio: normal
FLAG0043,TRIP007,DRV002,06-02-2024 13:37,704,moderate_brake,low,0.111,0,0.05,moderate brake detected. Combined score 0.05.,Motion: moderate_brake | Audio: normal
FLAG0044,TRIP007,DRV002,06-02-2024 13:45,1152,conflict_moment,high,0.264,0.95,0.769,"moderate brake detected. elevated cabin audio (82 dB, 61s sustained). Combined score 0.769.",Motion: conflict_moment | Audio: conflict
FLAG0045,TRIP007,DRV002,06-02-2024 13:57,1904,swerve,low,0.414,0,0.186,swerve detected. Combined score 0.186.,Motion: swerve | Audio: normal
FLAG0046,TRIP008,DRV003,06-02-2024 06:01,34,harsh_accel,low,0.271,0,0.122,harsh accel detected. Combined score 0.122.,Motion: harsh_accel | Audio: normal
FLAG0047,TRIP008,DRV003,06-02-2024 06:15,884,harsh_accel,low,0.358,0,0.161,moderate brake detected. Combined score 0.161.,Motion: harsh_accel | Audio: normal
FLAG0048,TRIP008,DRV003,06-02-2024 06:31,1802,harsh_braking,low,0.738,0,0.332,harsh braking detected. Combined score 0.332.,Motion: harsh_braking | Audio: normal
FLAG0049,TRIP008,DRV003,06-02-2024 06:34,2006,harsh_accel,low,0.426,0,0.192,harsh accel detected. Combined score 0.192.,Motion: harsh_accel | Audio: normal
FLAG0050,TRIP008,DRV003,06-02-2024 06:38,2278,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0051,TRIP008,DRV003,06-02-2024 06:45,2686,harsh_accel,low,0.564,0,0.254,moderate brake detected. Combined score 0.254.,Motion: harsh_accel | Audio: normal
FLAG0052,TRIP008,DRV003,06-02-2024 06:50,2958,swerve,low,0.345,0,0.155,swerve detected. Combined score 0.155.,Motion: swerve | Audio: normal
FLAG0053,TRIP008,DRV003,06-02-2024 06:56,3332,swerve,low,0.341,0,0.153,swerve detected. Combined score 0.153.,Motion: swerve | Audio: normal
FLAG0054,TRIP009,DRV003,06-02-2024 07:28,62,harsh_braking,low,0.843,0,0.379,pothole detected. Combined score 0.379.,Motion: harsh_braking | Audio: normal
FLAG0055,TRIP009,DRV003,06-02-2024 07:36,558,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0056,TRIP009,DRV003,06-02-2024 07:38,682,harsh_braking,low,0.604,0,0.272,harsh braking detected. Combined score 0.272.,Motion: harsh_braking | Audio: normal
FLAG0057,TRIP009,DRV003,06-02-2024 07:41,868,moderate_brake,low,0.1,0,0.045,moderate brake detected. Combined score 0.045.,Motion: moderate_brake | Audio: normal
FLAG0058,TRIP009,DRV003,06-02-2024 07:51,1488,harsh_braking,medium,0.864,0,0.389,harsh braking detected. Combined score 0.389.,Motion: harsh_braking | Audio: normal
FLAG0059,TRIP009,DRV003,06-02-2024 07:56,1767,harsh_accel,low,0.686,0,0.309,harsh accel detected. Combined score 0.309.,Motion: harsh_accel | Audio: normal
FLAG0060,TRIP009,DRV003,06-02-2024 07:59,1953,harsh_braking,medium,0.95,0,0.427,moderate brake detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0061,TRIP009,DRV003,06-02-2024 08:06,2356,harsh_braking,low,0.799,0,0.36,harsh braking detected. Combined score 0.36.,Motion: harsh_braking | Audio: normal
FLAG0062,TRIP009,DRV003,06-02-2024 08:09,2542,harsh_braking,low,0.513,0,0.231,harsh braking detected. Combined score 0.231.,Motion: harsh_braking | Audio: normal
FLAG0063,TRIP009,DRV003,06-02-2024 08:20,3193,harsh_accel,low,0.358,0,0.161,harsh accel detected. Combined score 0.161.,Motion: harsh_accel | Audio: normal
FLAG0064,TRIP009,DRV003,06-02-2024 08:22,3317,swerve,low,0.732,0,0.329,swerve detected. Combined score 0.329.,Motion: swerve | Audio: normal
FLAG0065,TRIP009,DRV003,06-02-2024 08:24,3472,harsh_accel,low,0.352,0,0.158,harsh accel detected. Combined score 0.158.,Motion: harsh_accel | Audio: normal
FLAG0066,TRIP010,DRV004,06-02-2024 06:10,224,harsh_accel,low,0.673,0,0.303,harsh accel detected. Combined score 0.303.,Motion: harsh_accel | Audio: normal
FLAG0067,TRIP010,DRV004,06-02-2024 06:24,1024,harsh_braking,medium,0.9,0,0.405,harsh braking detected. Combined score 0.405.,Motion: harsh_braking | Audio: normal
FLAG0068,TRIP011,DRV004,06-02-2024 06:51,258,harsh_accel,low,0.6,0,0.27,harsh accel detected. Combined score 0.27.,Motion: harsh_accel | Audio: normal
FLAG0069,TRIP011,DRV004,06-02-2024 07:02,946,moderate_brake,low,0.158,0,0.071,moderate brake detected. Combined score 0.071.,Motion: moderate_brake | Audio: normal
FLAG0070,TRIP011,DRV004,06-02-2024 07:20,2021,swerve,low,0.523,0,0.235,swerve detected. Combined score 0.235.,Motion: swerve | Audio: normal
FLAG0071,TRIP011,DRV004,06-02-2024 07:25,2322,harsh_braking,low,0.655,0,0.295,harsh braking detected. Combined score 0.295.,Motion: harsh_braking | Audio: normal
FLAG0072,TRIP011,DRV004,06-02-2024 07:29,2537,harsh_accel,low,0.274,0,0.123,harsh accel detected. Combined score 0.123.,Motion: harsh_accel | Audio: normal
FLAG0073,TRIP011,DRV004,06-02-2024 07:32,2709,harsh_braking,medium,0.848,0,0.382,harsh braking detected. Combined score 0.382.,Motion: harsh_braking | Audio: normal
FLAG0074,TRIP012,DRV004,06-02-2024 08:18,42,harsh_accel,low,0.558,0,0.251,harsh accel detected. Combined score 0.251.,Motion: harsh_accel | Audio: normal
FLAG0075,TRIP012,DRV004,06-02-2024 08:20,168,harsh_accel,low,0.574,0,0.258,swerve detected. Combined score 0.258.,Motion: harsh_accel | Audio: normal
FLAG0076,TRIP012,DRV004,06-02-2024 08:28,651,harsh_accel,low,0.464,0,0.209,harsh accel detected. Combined score 0.209.,Motion: harsh_accel | Audio: normal
FLAG0077,TRIP012,DRV004,06-02-2024 08:33,924,swerve,low,0.771,0,0.347,moderate brake detected. Combined score 0.347.,Motion: swerve | Audio: normal
FLAG0078,TRIP012,DRV004,06-02-2024 08:43,1512,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0079,TRIP012,DRV004,06-02-2024 08:49,1890,harsh_accel,low,0.667,0,0.3,harsh accel detected. Combined score 0.3.,Motion: harsh_accel | Audio: normal
FLAG0080,TRIP013,DRV005,06-02-2024 06:06,182,harsh_braking,low,0.837,0,0.377,harsh braking detected. Combined score 0.377.,Motion: harsh_braking | Audio: normal
FLAG0081,TRIP013,DRV005,06-02-2024 06:16,832,harsh_accel,low,0.419,0,0.189,harsh accel detected. Combined score 0.189.,Motion: harsh_accel | Audio: normal
FLAG0082,TRIP013,DRV005,06-02-2024 06:20,1066,conflict_moment,high,0.831,0.95,1,"harsh accel detected. elevated cabin audio (92 dB, 53s sustained). Combined score 1.0.",Motion: conflict_moment | Audio: conflict
FLAG0083,TRIP013,DRV005,06-02-2024 06:31,1716,swerve,low,0.649,0,0.292,swerve detected. Combined score 0.292.,Motion: swerve | Audio: normal
FLAG0084,TRIP013,DRV005,06-02-2024 06:35,1976,moderate_brake,low,0.275,0,0.124,moderate brake detected. Combined score 0.124.,Motion: moderate_brake | Audio: normal
FLAG0085,TRIP013,DRV005,06-02-2024 06:52,2990,harsh_accel,low,0.412,0,0.185,harsh accel detected. Combined score 0.185.,Motion: harsh_accel | Audio: normal
FLAG0086,TRIP013,DRV005,06-02-2024 07:02,3588,swerve,low,0.703,0,0.316,swerve detected. Combined score 0.316.,Motion: swerve | Audio: normal
FLAG0087,TRIP014,DRV005,06-02-2024 07:34,0,harsh_braking,medium,0.935,0,0.421,pothole detected. Combined score 0.421.,Motion: harsh_braking | Audio: normal
FLAG0088,TRIP014,DRV005,06-02-2024 07:39,352,moderate_brake,low,0.206,0,0.093,moderate brake detected. Combined score 0.093.,Motion: moderate_brake | Audio: normal
FLAG0089,TRIP014,DRV005,06-02-2024 07:45,660,harsh_braking,medium,0.95,0,0.427,moderate brake detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0090,TRIP014,DRV005,06-02-2024 07:58,1452,harsh_braking,low,0.438,0,0.197,harsh braking detected. Combined score 0.197.,Motion: harsh_braking | Audio: normal
FLAG0091,TRIP014,DRV005,06-02-2024 08:03,1760,swerve,low,0.282,0,0.127,swerve detected. Combined score 0.127.,Motion: swerve | Audio: normal
FLAG0092,TRIP014,DRV005,06-02-2024 08:09,2112,pothole,low,0.1,0,0.045,pothole detected. Combined score 0.045.,Motion: pothole | Audio: normal
FLAG0093,TRIP015,DRV005,06-02-2024 08:43,125,swerve,low,0.156,0,0.07,swerve detected. Combined score 0.07.,Motion: swerve | Audio: normal
FLAG0094,TRIP015,DRV005,06-02-2024 08:46,300,harsh_accel,low,0.578,0,0.26,harsh accel detected. Combined score 0.26.,Motion: harsh_accel | Audio: normal
FLAG0095,TRIP015,DRV005,06-02-2024 08:52,700,harsh_accel,low,0.438,0,0.197,harsh accel detected. Combined score 0.197.,Motion: harsh_accel | Audio: normal
FLAG0096,TRIP016,DRV005,06-02-2024 09:22,19,swerve,low,0.544,0,0.245,swerve detected. Combined score 0.245.,Motion: swerve | Audio: normal
FLAG0097,TRIP016,DRV005,06-02-2024 09:41,1178,harsh_braking,low,0.707,0,0.318,harsh braking detected. Combined score 0.318.,Motion: harsh_braking | Audio: normal
FLAG0098,TRIP016,DRV005,06-02-2024 09:52,1805,harsh_accel,low,0.631,0,0.284,harsh accel detected. Combined score 0.284.,Motion: harsh_accel | Audio: normal
FLAG0099,TRIP016,DRV005,06-02-2024 09:54,1976,harsh_braking,low,0.812,0,0.365,harsh braking detected. Combined score 0.365.,Motion: harsh_braking | Audio: normal
FLAG0100,TRIP017,DRV006,06-02-2024 06:29,576,pothole,low,0.1,0,0.045,pothole detected. Combined score 0.045.,Motion: pothole | Audio: normal
FLAG0101,TRIP017,DRV006,06-02-2024 06:42,1320,harsh_accel,low,0.326,0,0.147,harsh accel detected. Combined score 0.147.,Motion: harsh_accel | Audio: normal
FLAG0102,TRIP017,DRV006,06-02-2024 06:45,1536,harsh_accel,low,0.306,0,0.138,harsh accel detected. Combined score 0.138.,Motion: harsh_accel | Audio: normal
FLAG0103,TRIP018,DRV006,06-02-2024 07:08,432,moderate_brake,low,0.174,0,0.078,moderate brake detected. Combined score 0.078.,Motion: moderate_brake | Audio: normal
FLAG0104,TRIP018,DRV006,06-02-2024 07:10,576,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0105,TRIP018,DRV006,06-02-2024 07:17,972,harsh_braking,low,0.814,0,0.366,harsh braking detected. Combined score 0.366.,Motion: harsh_braking | Audio: normal
FLAG0106,TRIP018,DRV006,06-02-2024 07:34,2016,pothole,low,0.1,0,0.045,pothole detected. Combined score 0.045.,Motion: pothole | Audio: normal
FLAG0107,TRIP018,DRV006,06-02-2024 07:47,2808,moderate_brake,low,0.313,0,0.141,moderate brake detected. Combined score 0.141.,Motion: moderate_brake | Audio: normal
FLAG0108,TRIP018,DRV006,06-02-2024 07:54,3204,moderate_brake,low,0.146,0,0.066,moderate brake detected. Combined score 0.066.,Motion: moderate_brake | Audio: normal
FLAG0109,TRIP019,DRV006,06-02-2024 08:25,176,harsh_braking,low,0.559,0,0.252,pothole detected. Combined score 0.252.,Motion: harsh_braking | Audio: normal
FLAG0110,TRIP019,DRV006,06-02-2024 08:32,560,harsh_braking,low,0.631,0,0.284,harsh braking detected. Combined score 0.284.,Motion: harsh_braking | Audio: normal
FLAG0111,TRIP019,DRV006,06-02-2024 08:37,848,harsh_accel,low,0.616,0,0.277,moderate brake detected. Combined score 0.277.,Motion: harsh_accel | Audio: normal
FLAG0112,TRIP020,DRV006,06-02-2024 08:58,42,swerve,low,0.196,0,0.088,swerve detected. Combined score 0.088.,Motion: swerve | Audio: normal
FLAG0113,TRIP020,DRV006,06-02-2024 09:15,1050,harsh_braking,low,0.58,0,0.261,harsh braking detected. Combined score 0.261.,Motion: harsh_braking | Audio: normal
FLAG0114,TRIP020,DRV006,06-02-2024 09:17,1180,conflict_moment,high,0,0.95,0.522,"elevated cabin audio (95 dB, 55s sustained). Combined score 0.522.",Motion: conflict_moment | Audio: conflict
FLAG0115,TRIP020,DRV006,06-02-2024 09:23,1512,moderate_brake,low,0.25,0,0.113,moderate brake detected. Combined score 0.113.,Motion: moderate_brake | Audio: normal
FLAG0116,TRIP020,DRV006,06-02-2024 09:29,1890,pothole,low,0.1,0,0.045,pothole detected. Combined score 0.045.,Motion: pothole | Audio: normal
FLAG0117,TRIP020,DRV006,06-02-2024 09:37,2352,harsh_accel,low,0.611,0,0.275,harsh accel detected. Combined score 0.275.,Motion: harsh_accel | Audio: normal
FLAG0118,TRIP021,DRV007,06-02-2024 06:37,645,swerve,low,0.43,0,0.194,swerve detected. Combined score 0.194.,Motion: swerve | Audio: normal
FLAG0119,TRIP021,DRV007,06-02-2024 06:45,1118,moderate_brake,low,0.335,0,0.151,moderate brake detected. Combined score 0.151.,Motion: moderate_brake | Audio: normal
FLAG0120,TRIP021,DRV007,06-02-2024 06:47,1247,swerve,low,0.712,0,0.32,swerve detected. Combined score 0.32.,Motion: swerve | Audio: normal
FLAG0121,TRIP021,DRV007,06-02-2024 06:54,1634,conflict_moment,medium,0,0.733,0.403,"elevated cabin audio (88 dB, 32s sustained). Combined score 0.403.",Motion: conflict_moment | Audio: conflict
FLAG0122,TRIP021,DRV007,06-02-2024 07:02,2107,harsh_accel,low,0.667,0,0.3,harsh accel detected. Combined score 0.3.,Motion: harsh_accel | Audio: normal
FLAG0123,TRIP021,DRV007,06-02-2024 07:23,3397,swerve,low,0.517,0,0.233,swerve detected. Combined score 0.233.,Motion: swerve | Audio: normal
FLAG0124,TRIP022,DRV007,06-02-2024 08:04,64,moderate_brake,low,0.158,0,0.071,moderate brake detected. Combined score 0.071.,Motion: moderate_brake | Audio: normal
FLAG0125,TRIP022,DRV007,06-02-2024 08:11,480,swerve,low,0.526,0,0.237,swerve detected. Combined score 0.237.,Motion: swerve | Audio: normal
FLAG0126,TRIP022,DRV007,06-02-2024 08:18,928,swerve,low,0.599,0,0.27,swerve detected. Combined score 0.27.,Motion: swerve | Audio: normal
FLAG0127,TRIP022,DRV007,06-02-2024 08:25,1344,harsh_braking,medium,0.95,0,0.427,swerve detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0128,TRIP022,DRV007,06-02-2024 08:31,1728,swerve,low,0.273,0,0.123,swerve detected. Combined score 0.123.,Motion: swerve | Audio: normal
FLAG0129,TRIP022,DRV007,06-02-2024 08:38,2112,harsh_braking,low,0.806,0,0.363,moderate brake detected. Combined score 0.363.,Motion: harsh_braking | Audio: normal
FLAG0130,TRIP022,DRV007,06-02-2024 08:43,2400,harsh_accel,low,0.675,0,0.304,harsh accel detected. Combined score 0.304.,Motion: harsh_accel | Audio: normal
FLAG0131,TRIP023,DRV008,06-02-2024 17:05,51,harsh_braking,medium,0.849,0,0.382,moderate brake detected. Combined score 0.382.,Motion: harsh_braking | Audio: normal
FLAG0132,TRIP023,DRV008,06-02-2024 17:12,425,harsh_braking,low,0.788,0,0.355,harsh braking detected. Combined score 0.355.,Motion: harsh_braking | Audio: normal
FLAG0133,TRIP023,DRV008,06-02-2024 17:19,850,harsh_accel,low,0.484,0,0.218,harsh accel detected. Combined score 0.218.,Motion: harsh_accel | Audio: normal
FLAG0134,TRIP023,DRV008,06-02-2024 17:33,1683,harsh_accel,low,0.395,0,0.178,harsh accel detected. Combined score 0.178.,Motion: harsh_accel | Audio: normal
FLAG0135,TRIP023,DRV008,06-02-2024 17:37,1921,moderate_brake,low,0.27,0,0.122,moderate brake detected. Combined score 0.122.,Motion: moderate_brake | Audio: normal
FLAG0136,TRIP023,DRV008,06-02-2024 17:39,2091,harsh_braking,low,0.707,0,0.318,harsh braking detected. Combined score 0.318.,Motion: harsh_braking | Audio: normal
FLAG0137,TRIP023,DRV008,06-02-2024 17:44,2363,harsh_accel,low,0.548,0,0.247,pothole detected. Combined score 0.247.,Motion: harsh_accel | Audio: normal
FLAG0138,TRIP023,DRV008,06-02-2024 17:49,2669,harsh_braking,low,0.53,0,0.239,harsh braking detected. Combined score 0.239.,Motion: harsh_braking | Audio: normal
FLAG0139,TRIP023,DRV008,06-02-2024 17:55,3026,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0140,TRIP023,DRV008,06-02-2024 17:57,3179,harsh_braking,low,0.61,0,0.275,harsh braking detected. Combined score 0.275.,Motion: harsh_braking | Audio: normal
FLAG0141,TRIP024,DRV008,06-02-2024 18:20,68,harsh_braking,low,0.354,0,0.159,harsh braking detected. Combined score 0.159.,Motion: harsh_braking | Audio: normal
FLAG0142,TRIP024,DRV008,06-02-2024 18:26,425,harsh_accel,low,0.439,0,0.198,harsh accel detected. Combined score 0.198.,Motion: harsh_accel | Audio: normal
FLAG0143,TRIP024,DRV008,06-02-2024 18:36,1071,harsh_braking,medium,0.95,0,0.427,harsh accel detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0144,TRIP024,DRV008,06-02-2024 18:46,1666,moderate_brake,low,0.157,0,0.071,moderate brake detected. Combined score 0.071.,Motion: moderate_brake | Audio: normal
FLAG0145,TRIP024,DRV008,06-02-2024 18:51,1955,harsh_braking,medium,0.95,0,0.427,harsh braking detected. Combined score 0.427.,Motion: harsh_braking | Audio: normal
FLAG0146,TRIP024,DRV008,06-02-2024 18:57,2312,harsh_accel,low,0.57,0,0.257,harsh accel detected. Combined score 0.257.,Motion: harsh_accel | Audio: normal
FLAG0147,TRIP024,DRV008,06-02-2024 19:00,2482,moderate_brake,low,0.21,0,0.095,moderate brake detected. Combined score 0.095.,Motion: moderate_brake | Audio: normal
FLAG0148,TRIP024,DRV008,06-02-2024 19:02,2635,harsh_braking,medium,0.946,0,0.426,harsh braking detected. Combined score 0.426.,Motion: harsh_braking | Audio: normal
FLAG0149,TRIP024,DRV008,06-02-2024 19:14,3349,swerve,low,0.587,0,0.264,harsh accel detected. Combined score 0.264.,Motion: swerve | Audio: normal
FLAG0150,TRIP025,DRV009,06-02-2024 06:03,36,swerve,low,0.664,0,0.299,swerve detected. Combined score 0.299.,Motion: swerve | Audio: normal
FLAG0151,TRIP025,DRV009,06-02-2024 06:10,468,swerve,low,0.241,0,0.108,swerve detected. Combined score 0.108.,Motion: swerve | Audio: normal
FLAG0152,TRIP025,DRV009,06-02-2024 06:16,792,conflict_moment,high,0.279,0.95,0.778,"moderate brake detected. elevated cabin audio (92 dB, 57s sustained). Combined score 0.778.",Motion: conflict_moment | Audio: conflict
FLAG0153,TRIP025,DRV009,06-02-2024 06:24,1260,swerve,low,0.606,0,0.273,swerve detected. Combined score 0.273.,Motion: swerve | Audio: normal
FLAG0154,TRIP025,DRV009,06-02-2024 06:29,1584,harsh_accel,low,0.604,0,0.272,harsh braking detected. Combined score 0.272.,Motion: harsh_accel | Audio: normal
FLAG0155,TRIP026,DRV009,06-02-2024 06:56,216,harsh_braking,low,0.637,0,0.287,harsh braking detected. Combined score 0.287.,Motion: harsh_braking | Audio: normal
FLAG0156,TRIP026,DRV009,06-02-2024 07:08,936,harsh_accel,low,0.633,0,0.285,harsh accel detected. Combined score 0.285.,Motion: harsh_accel | Audio: normal
FLAG0157,TRIP026,DRV009,06-02-2024 07:11,1080,harsh_accel,low,0.625,0,0.281,harsh accel detected. Combined score 0.281.,Motion: harsh_accel | Audio: normal
FLAG0158,TRIP026,DRV009,06-02-2024 07:14,1260,harsh_accel,low,0.483,0,0.217,harsh accel detected. Combined score 0.217.,Motion: harsh_accel | Audio: normal
FLAG0159,TRIP026,DRV009,06-02-2024 07:18,1548,moderate_brake,low,0.323,0,0.145,moderate brake detected. Combined score 0.145.,Motion: moderate_brake | Audio: normal
FLAG0160,TRIP026,DRV009,06-02-2024 07:21,1692,harsh_accel,low,0.408,0,0.184,harsh accel detected. Combined score 0.184.,Motion: harsh_accel | Audio: normal
FLAG0161,TRIP027,DRV009,06-02-2024 07:58,0,swerve,low,0.153,0,0.069,swerve detected. Combined score 0.069.,Motion: swerve | Audio: normal
FLAG0162,TRIP027,DRV009,06-02-2024 08:00,176,swerve,low,0.682,0,0.307,swerve detected. Combined score 0.307.,Motion: swerve | Audio: normal
